04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,replaced with 04028,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock 2024,,20229,"CACIOTTA HERBS 1,2 LBS",1308180,07/03/2026,25,,,213.81,02/03/2027
04211,ALPEGGIO CHEESE 7 OZ EW,12,,,,Lettieri sometimes orders 10-15 cases,,20277,MASIBON,1320525,08/21/2026,3,,,36.43,11/08/2026
05001,GRANA PADANO PDO WHOLE WHEEL,28,,,,slow mover but keep some in stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312806,07/23/2026,70,,,369.60,02/24/2027
05007,GRANA PADANO PDO 1/8 WHEEL,1292,,,,,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1324264,09/04/2026,138,,,728.64,04/04/2027
05012,GRANA PADANO PDO HOR. CUT,30,,,,Selected,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,269423001,ETA 9/22,144*,,,760.32,Apr-27
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock 2024,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,67,,,353.76,10/22/2026
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,0,,,,always have at least 1/2 pallet (check with Stefano),,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38*,,,572.64,01/15/2026
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,10,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72*,,,"1,086.98",01/15/2026
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,-5,,,,,,20438,PROVOLONE CYLINDER CHEESE,1324251,09/04/2026,72,,,"1,040.97",04/07/2027
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,290826244,ETA 9/22,72*,,STOCK,"1,096.03",Apr-27
05093,GRANA PADANO WW 16 MESI,14,,,,,,20450,BRA TENERO PDO CHEESE,1316582,08/06/2026,6,,SPEC FL?,94.97,01/11/2027
05095,TRENTIN GRANA PDO CHEESE,25,,,,"no need to reorder it until September 2026, ask Stefano",,20453,RASCHERA PDO CHEESE,1316580,08/06/2026,6,,SPEC FL?,108.34,01/11/2027
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20464,ALTA BADIA CHEESE WHOLE WHEEL,1312797,07/23/2026,20,,35 DIPALO HOLIDAY,429.83,02/13/2027
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,60,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20464,ALTA BADIA CHEESE WHOLE WHEEL,"050826121, 634189121",ETA 9/22,30*,,,640.38,Apr-27
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,-24,,,,ACE Endico pre order?,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,22*,,,116.16,09/08/2026
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1324266,09/04/2026,141,48,KeHE 3898594,744.48,04/09/2027
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,269423002,ETA 9/22,144*,,,760.32,Apr-27
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,11,,,58.08,12/16/2026
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1324249,09/04/2026,240,,,1482.13,04/07/2027
,,,,,,,,20511,FONTAL CHEESE 1/4 WHEEL,269423010,ETA 9/22,240*,,80 DIPALO HOLIDAY,"1,437.63",Apr-27
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,42,,,128.17,07/15/2027
20150,CACIOTTA BLACK TRUFFLES 6 LBS,90,,,,average purchase TONY 55 per month,,20533,AGED TRUFFLE CHEESE BLACK,1316590,08/06/2026,57,,,291.63,03/12/2027
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,1324232,09/04/2026,120,,,604.02,04/08/2027
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,50,,,,"15x Greg monthly plan, we monitor",,20533,AGED TRUFFLE CHEESE BLACK,269423008,ETA 9/22,120*,,,618.03,Apr-27
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,-120,,,,TJ preorder,,20584,STELVIO PDO CHEESE WHOLE WHEEL,1312762,07/23/2026,9,,,195.79,02/13/2027
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,20584,STELVIO PDO CHEESE WHOLE WHEEL,"070826122, 634190122",ETA 9/22,30*,,,637.24,Apr-27
20229,CACIOTTA HERBS 1.2 LBS,25,,,,10-15x monthly plan Cowbell,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,16,,,203.52,05/07/2027
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1312770,07/23/2026,30,,,391.58,06/17/2027
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,30014,APERICHEESE YELLOW,1320523,08/21/2026,4,,,10.58,12/11/2026
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,208,,,,HEB 1 pallet + something small for Lettieri,,30015,APERICHEESE RED,1320524,08/21/2026,5,,,13.22,12/11/2026
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,67,,,,we don't have project right now,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1324228,09/04/2026,33,,,"1,784.92",08/05/2027
20438,PROVOLONE CYLINDER CHEESE,72,,,,"1 pallet available for Stock, Veroni preorder",,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,10,,,312.35,04/10/2027
20450,BRA TENERO SOFT,6,,,,Specialty Merchants ,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,635181245,ETA 9/22,30*,,,422.04,Aug-27
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,40109,PIAVE VECCHIO PDO > 6 MONTHS,635182245,ETA 9/22,30*,10,Chs Importers 86652,408.40,Aug-27
20452,TOMA,0,,,,not interesting for the stock,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,11,,,150.70,02/04/2027
20453,RASCHERA PIEMONTESE DOP,6,,,,Specialty Merchants ,,40158,PIAVE VECCHIO PDO >12 MONTHS,1322645,09/01/2026,18,,15 DIPALO HOLIDAY,232.21,07/24/2027
20464,ALTA BADIA,20,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,40169,RICOTTA SALATA V.P.,1324247,09/04/2026,6,,,92.15,05/08/2027
20480,CACIOTTA MNT HERBS 7 OZ EW,93,,,,,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,,578.845,02/04/2027
20481,CACIOTTA PEPATO 7 OZ EW,11,,,,,,40174,PECORINO TOSCANO PDO WW,1322669,09/01/2026,80,,,780.06,03/18/2027
20511,FONTAL 1/4 WHEEL,240,,,,Lettieri,,01032,SHARP PROVOLONE,269423013,ETA 9/22,36*,28,"25x Cowbell, 3x Chs Importers 86652",544.38,Apr-27
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,42,,,,<15?,,01034,SMOKED PROVOLONE 4.4 LBS,190826243,ETA 9/22,72*,72,SK 0284257,"1,417.69",Jan-27
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,0,,,,<10? Cheese importers wants stock consistent? (45),,01034,SMOKED PROVOLONE 4.4 LBS,190826243,ETA 9/22,72*,72,SK 0284257,"1,409.68",Jan-27
20533,AGED TRUFFLE CHEESE BLACK,177,,,,News about production? Baldor,,01034,SMOKED PROVOLONE 4.4 LBS,"250826243, 210826243",ETA 9/22,72*,72,SK 0284257,"1,421.15",Jan-27
20569,BIANCO D'ITALIA 1/4 WHEEL,0,,,,Cowbell,,01034,SMOKED PROVOLONE 4.4 LBS,"280826244, 250826243",ETA 9/22,72*,72,SK 0284257,"1,456.79",Jan-27
20584,STELVIO PDO CHEESE WHOLE WHEEL,9,,,,<30?,,01186,SMOKED PROVOLONE CYLINDER,1316556,08/06/2026,19,,,236.286,03/12/2027
20586,LAGREIN,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,1324268,09/04/2026,72,72,Veroni 23-26C,1028.1,04/07/2027
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,1324241,09/04/2026,20,,,399.88,04/09/2027
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,01299,MILD PROVOLONE STICK,269423021,ETA 9/22,72*,72,Levoni 10/20 delivery,"1,057.31",Jan-27
20702,PECORINO CURRY,0,,,,not interesting for the stock,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1322638,09/01/2026,18,8,Chs Importers 86652,501.667,07/23/2027
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1316588,08/06/2026,90,24,Ace 741,606.02,03/11/2027
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,240,,,1701.72,02/03/2027
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,02091,ASIAGO FRESCO PDO 7 OZ EW,1316584,08/06/2026,15,16,Ace 741,79.20,03/11/2027
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,5/15/2026,7,,,207.29,12/16/2026
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,46,,,,keep 25 in stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,15 DIPALO HOLIDAY,713.88,12/16/2026
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,20,,,381.166,03/22/2027
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,15,5,Ace 741,74.905,01/09/2027
30014,APERICHEESE YELLOW ,4,,,,product ready? NEW,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1312795,07/23/2026,24,,,114.99,02/20/2027
30015,APERICHEESE RED,5,,,,product ready? NEW,,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,21,,,389.34,08/30/2026
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.95,10/22/2026
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,12,,,78.592,11/22/2026
40020,MONTASIO CHEESE WHOLE WHEEL,0,,,,do we have <25?,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1312777,07/23/2026,24,,,144.89,02/24/2027
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,19,,,94.93,12/16/2026
40103,PECORINO ROMANO PDO WHOLE WHEEL,33,,,,keep 1-2 pallet in stock,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,15,,,101.768,12/16/2026
40104,PECORINO ROMANO PDO 1/4 WHEEL,0,,,,keep 1-2 pallet in stock,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,5,,,150.628,09/13/2026
40105,PECORINO GRANGLONA CHEESE,10,,,,Selected - waiting for feedback,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1316549,08/06/2026,71,48,KeHE 3898594,374.88,03/11/2027
40107,PIAVE MEZZANO PDO WHOLE WHEEL,0,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269423003,ETA 9/22,144*,,,760.32,Apr-27
40109,PIAVE VECCHIO PDO > 6 MONTHS,-10,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269423004,ETA 9/22,127*,,,670.56,Apr-27
40130,MONTASIO CHEESE PDO 1/4 WHEEL,11,,,,main Customer Ace Endico,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,14,,,284.53,04/15/2027
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,04211,ALPEGGIO CHEESE 7 OZ EW,1316566,08/06/2026,12,,,63.36,03/11/2027
40158,PIAVE VECCHIO PDO > 12 MONTHS Selezione Oro,18,,,,"Ace Endico, 30 in stock? ",,05001,GRANA PADANO PDO WHOLE WHEEL,1312775,07/23/2026,30,2,Chs Importers 86652,"2,484.17",06/18/2027
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,05007,GRANA PADANO PDO 1/8 WHEEL,1308161,07/03/2026,40,,,825.82,01/30/2027
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308176,07/03/2026,104,104,Gordon 4514914235,"2,224.38",01/30/2027
40169,RICOTTA SALATA V.P.,6,,,,Main customer DeKalb,,05007,GRANA PADANO PDO 1/8 WHEEL,1308162,07/03/2026,104,104,Gordon 4514914235,"2,149.43",01/31/2027
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1308167,07/03/2026,104,104,Gordon 4514914235,"2,182.45",01/31/2027
40175,PECORINO TOSCANO PDO WW AGED,0,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1312765,07/23/2026,104,,,"2,240.29",02/20/2027
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,05007,GRANA PADANO PDO 1/8 WHEEL,1312771,07/23/2026,104,,,"2,252.32",02/20/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316559,08/06/2026,104,,,"2,182.04",03/06/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316569,08/06/2026,104,,,"2,230.52",03/06/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316570,08/06/2026,104,,,2184.26,03/06/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316572,08/06/2026,104,,,"2,193.57",03/06/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316573,08/06/2026,104,,,2181.06,03/06/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322677,09/01/2026,104,,,2259.24,03/24/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322678,09/01/2026,104,,,2220.76,03/24/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322679,09/01/2026,104,,,2256.08,03/24/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322680,09/01/2026,104,,,2258.6,03/24/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312792,07/23/2026,108,,,2345.59,02/20/2027
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,14,,,589.076,12/16/2026
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,,673.23,12/16/2026
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,95209,ETA 9/22,99*,,,"2,183.69",Aug-27
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,95209,ETA 9/22,99*,,,"2,241.95",Aug-27
,,,,,,,,05033,PARMIGIANO REGGIANO PDO WW (24 MONTHS),1324224,09/04/2026,10,,,881.02,08/05/2027
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,269423011,ETA 9/22,30*,5,Chs Importers 86652,"2,691.68",Aug-27
,,,,,,,,05093,GRANA PADANO PDO 16 MONTHS WHOLE WHEEL,1324226,09/04/2026,14,,25 DIPALO HOLIDAY,1125.76,08/05/2027
,,,,,,,,05093,GRANA PADANO PDO 16 MONTHS WHOLE WHEEL,32025129,ETA 9/22,15*,,,"1,190.48",Aug-27
,,,,,,,,05095,TRENTINGRANA PDO CHEESE,1322643,09/01/2026,25,,15 DIPALO HOLIDAY/COWBELL,2057.72,07/12/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1308166,07/03/2026,30,,15 DIPALO HOLIDAY,2484.11,06/04/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1322642,09/01/2026,30,,,2489.73,07/12/2027
,,,,,,,,05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,269423022,ETA 9/22,24*,24,Ace 741,506.83,Apr-27
,,,,,,,,0911,CRACKERS WITH OLIVE OIL BULK 5 KG,L-26239,ETA 9/29,24*,72,SK 0283916,506.83,27-Apr
,,,,,,,,0911,CRACKERS WITH OLIVE OIL BULK 5 KG,L-26239,ETA 9/29,72*,72,SK 0283916,793.66,27-Oct
,,,,,,,,0911,CRACKERS WITH OLIVE OIL BULK 5 KG,L-26239,ETA 9/29,72*,72,SK 0283916,793.66,27-Oct
,,,,,,,,0911,CRACKERS WITH OLIVE OIL BULK 5 KG,L-26239,ETA 9/29,72*,72,SK 0283916,793.66,27-Oct
